latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-9.54622,35.15989,300.17,2.37,1.49,2025-12-10,01:04,A,20,6.1NRT,281.17,23.6,N
-25.22537,45.5002,322.41,1.78,1.31,2025-12-10,05:27,T,64,6.1NRT,301.33,17.37,D
-7.91059,36.03289,319.32,1.96,1.37,2025-12-10,07:01,T,73,6.1NRT,288.31,35.82,D
-6.54662,37.40544,317.81,2.41,1.5,2025-12-10,07:01,T,60,6.1NRT,294.44,31.85,D
-6.54386,37.38438,315.1,2.4,1.49,2025-12-10,07:01,T,36,6.1NRT,294.81,21.43,D
-5.82844,35.88024,332.13,1.77,1.3,2025-12-10,07:01,T,77,6.1NRT,300.39,43.49,D
-8.39345,35.8524,323.91,1.93,1.36,2025-12-10,07:03,T,78,6.1NRT,292.2,47.03,D
-13.44687,37.87245,307.05,3.34,1.72,2025-12-10,07:03,T,33,6.1NRT,284.9,14.33,D
-8.38737,35.84751,317.92,1.93,1.36,2025-12-10,07:03,T,71,6.1NRT,292.26,33.55,D
-19.37362,34.01936,310.93,2.02,1.38,2025-12-10,07:05,T,49,6.1NRT,294.64,11.83,D
-23.71413,29.45536,319.86,1.16,1.07,2025-12-10,07:05,T,70,6.1NRT,299.78,11.11,D
-24.33649,26.00265,318.73,1.01,1.01,2025-12-10,07:05,T,69,6.1NRT,301.46,8.01,D
-24.76485,28.9799,317.78,1.13,1.06,2025-12-10,07:05,T,71,6.1NRT,297.2,10.85,D
-24.83672,27.36531,318.25,1.01,1.01,2025-12-10,07:05,T,64,6.1NRT,301.63,8.22,D
-25.72986,28.33557,316.94,1.09,1.04,2025-12-10,07:05,T,38,6.1NRT,300.62,6.76,D
-18.94433,30.61027,309.28,1.18,1.08,2025-12-10,07:05,T,46,6.1NRT,295.76,6.47,D
-29.58614,23.96882,325.09,1.05,1.02,2025-12-10,07:07,T,71,6.1NRT,306.61,14.34,D
-29.76336,24.40145,318.6,1.02,1.01,2025-12-10,07:07,T,32,6.1NRT,301.97,8.89,D
