latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-16.3505,29.5846,326,1,1,2000-11-01,0830,Terra,MODIS,75,6.2,299.7,13.1,D,0
-18.2376,29.9458,315.4,1,1,2000-11-01,0830,Terra,MODIS,55,6.2,270.3,13,D,0
-19.0558,31.0114,328.4,1,1,2000-11-01,0831,Terra,MODIS,83,6.2,299.3,20.2,D,0
-19.8262,32.8926,318.4,1.2,1.1,2000-11-01,0831,Terra,MODIS,50,6.2,293.3,14.5,D,0
-19.8278,32.9043,326.2,1.2,1.1,2000-11-01,0831,Terra,MODIS,77,6.2,290.7,26.6,D,0
-19.9917,31.0063,324.3,1,1,2000-11-01,0831,Terra,MODIS,65,6.2,302.1,11.4,D,0
-20.1018,31.0033,333.1,1,1,2000-11-01,0831,Terra,MODIS,74,6.2,308.6,18.3,D,0
-20.1032,31.0131,330.5,1,1,2000-11-01,0831,Terra,MODIS,53,6.2,308.4,15.3,D,0
-20.296,31.7458,348,1.1,1,2000-11-01,0831,Terra,MODIS,93,6.2,307.2,47.5,D,0
-20.2974,31.7561,355.7,1.1,1,2000-11-01,0831,Terra,MODIS,97,6.2,307.3,66,D,0
-20.3028,30.6065,327.9,1,1,2000-11-01,0831,Terra,MODIS,74,6.2,308.9,9.9,D,0
-20.6984,32.1581,329.2,1.1,1.1,2000-11-01,0831,Terra,MODIS,41,6.2,308.8,8.3,D,0
-20.9606,31.9147,338,1.1,1.1,2000-11-01,0831,Terra,MODIS,85,6.2,310.7,24.9,D,0
-20.97,31.9133,369.1,1.1,1.1,2000-11-01,0831,Terra,MODIS,100,6.2,308.5,111,D,0
-20.9715,31.924,333.3,1.1,1.1,2000-11-01,0831,Terra,MODIS,73,6.2,307.3,17.6,D,0
-20.9985,31.9092,324.4,1.1,1.1,2000-11-01,0831,Terra,MODIS,48,6.2,306.6,7.9,D,0
-21.3919,31.8917,330.8,1.1,1.1,2000-11-01,0831,Terra,MODIS,76,6.2,306,17.7,D,0
-21.4226,31.857,322.5,4.8,2,2000-11-02,0736,Terra,MODIS,74,6.2,288.3,118,D,0
-21.4403,31.8523,338,4.8,2,2000-11-02,0736,Terra,MODIS,88,6.2,288.5,309.9,D,0
-21.4368,31.8455,340.4,4.8,2,2000-11-02,0736,Terra,MODIS,90,6.2,288.8,342,D,0
-18.4382,29.1441,316.7,3.7,1.8,2000-11-02,0913,Terra,MODIS,47,6.2,293.3,45.5,D,0
-19.4087,30.413,322.6,4.7,2,2000-11-02,0914,Terra,MODIS,75,6.2,296.4,107.2,D,0
-17.3558,30.1667,300.7,2.9,1.6,2000-11-02,2125,Terra,MODIS,33,6.2,286.5,25,N,0
-21.638,31.2591,340.7,1,1,2000-11-03,0819,Terra,MODIS,89,6.2,301.4,28.8,D,0
-17.1086,30.7549,320.2,2.7,1.6,2000-11-04,0901,Terra,MODIS,56,6.2,291,52,D,0
-17.611,31.9514,314.2,3.4,1.7,2000-11-04,0901,Terra,MODIS,38,6.2,291.5,35.9,D,0
-18.0748,26.1818,326,1.3,1.1,2000-11-04,0901,Terra,MODIS,70,6.2,309.4,13.9,D,0
-19.3227,31.0303,315.7,3.1,1.7,2000-11-04,0901,Terra,MODIS,53,6.2,297.5,32.5,D,0
-19.3256,31.0595,319,3.1,1.7,2000-11-04,0901,Terra,MODIS,67,6.2,296.8,48.4,D,0
-19.3407,31.0579,317.9,3.1,1.7,2000-11-04,0901,Terra,MODIS,60,6.2,297.9,43.3,D,0
-19.3389,31.0509,326.7,3.1,1.7,2000-11-04,0901,Terra,MODIS,78,6.2,298,88.5,D,0
-19.27,29.578,318,2.4,1.5,2000-11-04,0901,Terra,MODIS,57,6.2,297.3,32.4,D,0
-19.5468,29.8385,336.1,2.5,1.5,2000-11-04,0901,Terra,MODIS,86,6.2,300.3,114.8,D,0
-21.3157,30.0436,321.3,2.7,1.6,2000-11-04,0902,Terra,MODIS,61,6.2,303.7,36.7,D,0
-21.3184,30.0704,324,2.8,1.6,2000-11-04,0902,Terra,MODIS,68,6.2,303.7,50.4,D,0
-21.321,30.0646,326.2,2.8,1.6,2000-11-04,0902,Terra,MODIS,72,6.2,304,61.4,D,0
-16.9195,31.053,301.4,2,1.4,2000-11-04,2113,Terra,MODIS,41,6.2,286,16.8,N,0
-16.4659,29.5754,319.7,2.5,1.5,2000-11-05,0806,Terra,MODIS,42,6.2,299.2,28.5,D,0
-16.4701,29.5982,325.8,2.5,1.5,2000-11-05,0806,Terra,MODIS,69,6.2,298.7,51.6,D,0
-16.477,29.5909,325.3,2.5,1.5,2000-11-05,0806,Terra,MODIS,64,6.2,299.2,48.2,D,0
-17.3225,31.4282,325,1.7,1.3,2000-11-05,0806,Terra,MODIS,53,6.2,304.3,18,D,0
-17.3253,31.4442,323.4,1.7,1.3,2000-11-05,0806,Terra,MODIS,44,6.2,304.2,15.8,D,0
-17.2677,30.0817,318.9,2.2,1.4,2000-11-05,0806,Terra,MODIS,45,6.2,300.6,19.1,D,0
-17.7799,31.9392,321.9,1.6,1.2,2000-11-05,0806,Terra,MODIS,63,6.2,303.7,13.3,D,0
-17.5952,29.9272,321,2.2,1.4,2000-11-05,0806,Terra,MODIS,59,6.2,299.5,27.1,D,0
-18.2473,29.6674,319.6,2.2,1.5,2000-11-05,0806,Terra,MODIS,52,6.2,302,19.3,D,0
-18.2511,29.6885,338.9,2.2,1.4,2000-11-05,0806,Terra,MODIS,87,6.2,303.5,97.6,D,0
-18.2483,29.682,332.8,2.2,1.4,2000-11-05,0806,Terra,MODIS,81,6.2,303.4,67.5,D,0
-19.8437,29.6736,320.3,2.1,1.4,2000-11-05,0806,Terra,MODIS,54,6.2,302.3,21.8,D,0
-20.6992,31.6072,331.2,1.5,1.2,2000-11-05,0807,Terra,MODIS,56,6.2,314.2,16.3,D,0
-20.7075,31.4601,329.6,1.5,1.2,2000-11-05,0807,Terra,MODIS,71,6.2,311.5,19.1,D,0
-20.6984,31.4554,328.3,1.5,1.2,2000-11-05,0807,Terra,MODIS,66,6.2,311,16.3,D,0
-20.7093,31.4537,324.7,1.5,1.2,2000-11-05,0807,Terra,MODIS,39,6.2,310.3,9.5,D,0
-20.793,31.3409,332.9,1.5,1.2,2000-11-05,0807,Terra,MODIS,54,6.2,313.8,22,D,0
-20.7988,31.3099,334.7,1.5,1.2,2000-11-05,0807,Terra,MODIS,77,6.2,314.2,27,D,0
-20.8013,31.3242,334.7,1.5,1.2,2000-11-05,0807,Terra,MODIS,72,6.2,315.6,26.3,D,0
-21.0077,31.7275,332.3,1.4,1.2,2000-11-05,0807,Terra,MODIS,48,6.2,317.5,18.8,D,0
-21.393,31.0113,333.6,1.6,1.2,2000-11-05,0807,Terra,MODIS,77,6.2,311.4,31.6,D,0
-21.3634,31.9059,307.1,2.6,1.6,2000-11-05,2017,Terra,MODIS,70,6.2,292.4,22.5,N,0
-21.3587,31.9001,306.7,2.6,1.6,2000-11-05,2017,Terra,MODIS,69,6.2,292.5,21,N,0
-20.7979,31.3549,303.7,2.8,1.6,2000-11-05,2017,Terra,MODIS,44,6.2,292.7,17.4,N,0
-20.7962,31.3479,303.9,2.8,1.6,2000-11-05,2017,Terra,MODIS,23,6.2,292.7,16.5,N,0
-20.7251,31.4763,305,2.8,1.6,2000-11-05,2017,Terra,MODIS,63,6.2,291.6,22.9,N,0
-16.3545,31.5562,333,1.8,1.3,2000-11-06,0848,Terra,MODIS,78,6.2,307.6,28.4,D,0
-16.4206,31.4143,341.1,1.7,1.3,2000-11-06,0848,Terra,MODIS,74,6.2,308.5,60.2,D,0
-16.4161,31.4085,339.4,1.7,1.3,2000-11-06,0848,Terra,MODIS,84,6.2,308.7,51.9,D,0
-16.7116,31.1039,325.8,1.7,1.3,2000-11-06,0848,Terra,MODIS,73,6.2,299.4,26.2,D,0
-16.723,31.102,358.5,1.7,1.3,2000-11-06,0848,Terra,MODIS,99,6.2,300.8,150,D,0
-16.725,31.1179,326.7,1.7,1.3,2000-11-06,0848,Terra,MODIS,75,6.2,301.5,27.9,D,0
-16.8267,31.7471,325.9,1.9,1.3,2000-11-06,0848,Terra,MODIS,74,6.2,298.8,32.6,D,0
-16.8212,31.759,321.4,1.9,1.3,2000-11-06,0848,Terra,MODIS,61,6.2,298.7,20.4,D,0
-16.7448,30.5483,328.5,1.5,1.2,2000-11-06,0848,Terra,MODIS,76,6.2,305,28.3,D,0
-16.9991,29.0625,326.8,1.2,1.1,2000-11-06,0849,Terra,MODIS,73,6.2,305.9,13.5,D,0
-17.0952,29.7153,317.7,1.4,1.2,2000-11-06,0849,Terra,MODIS,28,6.2,301,6.8,D,0
-17.3466,30.4249,326.6,1.5,1.2,2000-11-06,0849,Terra,MODIS,70,6.2,306.2,20.4,D,0
-17.3686,30.4219,321.5,1.5,1.2,2000-11-06,0849,Terra,MODIS,55,6.2,304.7,11.2,D,0
-17.3438,30.14,322.6,1.5,1.2,2000-11-06,0849,Terra,MODIS,67,6.2,304.1,15.9,D,0
-17.3485,30.1471,322.1,1.5,1.2,2000-11-06,0849,Terra,MODIS,37,6.2,305.4,14.6,D,0
-18.144,30.5034,323.5,1.6,1.2,2000-11-06,0849,Terra,MODIS,44,6.2,303.8,18.6,D,0
-18.1598,30.2632,323.1,1.5,1.2,2000-11-06,0849,Terra,MODIS,64,6.2,303.7,19.9,D,0
-18.4699,31.4208,321.4,1.9,1.3,2000-11-06,0849,Terra,MODIS,70,6.2,296.7,34.7,D,0
-19.4356,31.2181,318.5,1.9,1.3,2000-11-06,0849,Terra,MODIS,68,6.2,293.2,25.5,D,0
-19.4234,31.0067,318.4,1.8,1.3,2000-11-06,0849,Terra,MODIS,67,6.2,294.8,22.6,D,0
-19.4246,28.5444,325.5,1.2,1.1,2000-11-06,0849,Terra,MODIS,73,6.2,304.1,12.6,D,0
-20.1654,28.3719,324.1,1.2,1.1,2000-11-06,0849,Terra,MODIS,72,6.2,308.4,15.5,D,0
-20.5372,30.0205,320.8,1.6,1.2,2000-11-06,0849,Terra,MODIS,53,6.2,294.6,24.7,D,0
-21.3972,31.9411,317.4,2.2,1.5,2000-11-06,0850,Terra,MODIS,29,6.2,294,22,D,0
-21.0762,28.5045,321.7,1.3,1.1,2000-11-06,0850,Terra,MODIS,35,6.2,303.3,9,D,0
-21.4084,31.9164,303.6,1.2,1.1,2000-11-06,2100,Terra,MODIS,56,6.2,293.5,5.4,N,0
-21.3431,31.8739,306.8,1.2,1.1,2000-11-06,2100,Terra,MODIS,69,6.2,294,7.1,N,0
-21.4468,31.1599,304.7,1.1,1.1,2000-11-06,2100,Terra,MODIS,61,6.2,292.3,6.5,N,0
-21.4485,31.1492,307.7,1.1,1.1,2000-11-06,2100,Terra,MODIS,72,6.2,292.5,8.8,N,0
-20.8122,32.0528,302.4,1.3,1.1,2000-11-06,2100,Terra,MODIS,49,6.2,292.4,5.6,N,0
-20.5555,32.054,334.1,1.3,1.1,2000-11-06,2100,Terra,MODIS,100,6.2,293.2,49.1,N,0
-20.5574,32.0419,308.4,1.3,1.1,2000-11-06,2100,Terra,MODIS,74,6.2,291.8,12.1,N,0
-20.5434,32.0642,335.2,1.3,1.1,2000-11-06,2100,Terra,MODIS,100,6.2,293.2,49,N,0
-20.5454,32.0521,352.7,1.3,1.1,2000-11-06,2100,Terra,MODIS,100,6.2,294.4,93.9,N,0
-20.5474,32.04,330.9,1.3,1.1,2000-11-06,2100,Terra,MODIS,100,6.2,293.1,39.4,N,0
-20.5494,32.028,320.5,1.3,1.1,2000-11-06,2100,Terra,MODIS,40,6.2,292.6,22.7,N,0
-20.5432,32.0708,317.5,1.3,1.1,2000-11-06,2100,Terra,MODIS,95,6.2,292.8,20.3,N,0
-20.5451,32.0587,348.4,1.3,1.1,2000-11-06,2100,Terra,MODIS,100,6.2,294.9,80.7,N,0
-20.547,32.0466,348.8,1.3,1.1,2000-11-06,2100,Terra,MODIS,100,6.2,294.9,80.9,N,0
-20.549,32.0345,322.3,1.3,1.1,2000-11-06,2100,Terra,MODIS,80,6.2,292.9,24.1,N,0
-20.5312,32.0811,303.2,1.3,1.1,2000-11-06,2100,Terra,MODIS,41,6.2,292,6.7,N,0
-20.539,32.0326,306.7,1.3,1.1,2000-11-06,2100,Terra,MODIS,21,6.2,292,7.5,N,0
-20.5347,31.9947,308.1,1.3,1.1,2000-11-06,2100,Terra,MODIS,7,6.2,291.6,9.2,N,0
-20.5367,31.9827,307.2,1.3,1.1,2000-11-06,2100,Terra,MODIS,41,6.2,292.1,9.2,N,0
-19.8373,29.6362,302,1,1,2000-11-06,2100,Terra,MODIS,46,6.2,287.9,6,N,0
-18.6984,30.0501,301.5,1.1,1,2000-11-06,2100,Terra,MODIS,42,6.2,290.3,5,N,0
-17.4615,30.3099,323.4,1.1,1.1,2000-11-06,2101,Terra,MODIS,100,6.2,285.8,27.6,N,0
-17.4631,30.2993,314.4,1.1,1.1,2000-11-06,2101,Terra,MODIS,78,6.2,283.8,18.3,N,0
-17.452,30.3083,303.9,1.1,1.1,2000-11-06,2101,Terra,MODIS,58,6.2,280.5,9,N,0
-17.4536,30.2977,301.1,1.1,1.1,2000-11-06,2101,Terra,MODIS,28,6.2,282.5,8,N,0
-16.848,29.8537,311.8,1.1,1,2000-11-06,2101,Terra,MODIS,83,6.2,290.1,12.9,N,0
-16.5738,30.7525,312.9,1.2,1.1,2000-11-06,2101,Terra,MODIS,86,6.2,290.7,15.6,N,0
-16.5639,30.7509,302.1,1.2,1.1,2000-11-06,2101,Terra,MODIS,47,6.2,290.7,6.2,N,0
